Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
HTTP Request ORM Create Product ,10,19,9,86,22.32,0.000%,.14681,0.03,0.03,202.2
HTTP Request ORM Movimientos Entrada,1000,20,13,210,12.14,0.000%,13.49837,3.04,3.43,230.3
HTTP Request ORM Movimientos Salida,500,22,13,214,20.47,0.000%,6.66587,1.49,1.70,229.5
Verificar cantidades productos ORM,1,7,7,7,0.00,0.000%,142.85714,127.37,26.09,913.0
TOTAL,1511,21,7,214,15.49,0.000%,19.55582,4.40,4.97,230.3
